
=== 실험4: 장비 진행 (하루 다이아 2500 · 30판/일 · 365일) ===
    1일차: 챕터   3 클리어  슬롯 1/1/1/0/0/0  신화 0/6  장비 —/영웅/희귀/일반/—/영웅  누적뽑기 6
    3일차: 챕터   4 클리어  슬롯 2/1/1/1/1/1  신화 0/6  장비 일반/영웅/희귀/전설/희귀/영웅  누적뽑기 18
    7일차: 챕터   6 클리어  슬롯 2/2/2/2/2/2  신화 0/6  장비 전설/영웅/영웅/전설/영웅/영웅  누적뽑기 43
   14일차: 챕터   9 클리어  슬롯 3/3/3/2/2/2  신화 1/6  장비 전설+1/전설/영웅/신화/영웅/전설  누적뽑기 87
   30일차: 챕터  42 클리어  슬롯 7/7/7/7/7/7  신화 3/6  장비 전설+1/신화/신화/신화/전설/전설  누적뽑기 187
   60일차: 챕터 114 클리어  슬롯 19/19/19/19/19/18  신화 3/6  장비 전설+2/신화/신화/신화/전설+2/전설+1  누적뽑기 374
   90일차: 챕터 136 클리어  슬롯 23/22/22/22/22/22  신화 4/6  장비 신화/신화/신화/신화/전설+3/전설+2  누적뽑기 562
  120일차: 챕터 161 클리어  슬롯 26/26/26/26/26/26  신화 5/6  장비 신화/신화/신화/신화+1/신화/전설+4  누적뽑기 749
  150일차: 챕터 177 클리어  슬롯 29/29/29/28/28/28  신화 5/6  장비 신화/신화/신화+1/신화+1/신화/전설+5  누적뽑기 937
